data_venda,id_pedido,produto,categoria,quantidade,preco_unitario,receita_total,regiao,metodo_pagamento,cliente_tipo
2024-08-09,PED00001,Apple Watch Series 9,Smartwatches,1,4500,4500,Centro,PIX,Novo
2024-01-11,PED00002,Amazon Fire HD,Tablets,2,850,1700,Sul,Boleto,Novo
2024-05-20,PED00003,AirPods Pro,Fones de Ouvido,1,1800,1800,Oeste,PIX,Recorrente
2024-12-27,PED00004,Xiaomi 13,Smartphones,1,2800,2800,Oeste,Cartão de Débito,Novo
2024-06-11,PED00005,AirPods Pro,Fones de Ouvido,2,1800,3600,Centro,Boleto,Recorrente
2024-03-19,PED00006,Motorola Edge 40,Smartphones,1,2200,2200,Centro,Cartão de Débito,Recorrente
2024-08-16,PED00007,iPhone 14,Smartphones,1,3500,3500,Leste,PIX,Recorrente
2024-02-10,PED00008,Lenovo Tab P11,Tablets,1,1800,1800,Oeste,Boleto,Novo
2024-08-05,PED00009,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Oeste,Boleto,Recorrente
2024-10-28,PED00010,Samsung Galaxy S23,Smartphones,2,4200,8400,Norte,Cartão de Débito,Recorrente
2024-08-20,PED00011,Garmin Forerunner,Smartwatches,1,2200,2200,Norte,Boleto,Recorrente
2024-01-12,PED00012,Xiaomi 13,Smartphones,1,2800,2800,Oeste,Boleto,Recorrente
2024-03-11,PED00013,MacBook Air M2,Laptops,1,8500,8500,Centro,Cartão de Crédito,Recorrente
2024-05-10,PED00014,Samsung Buds,Fones de Ouvido,2,650,1300,Centro,Cartão de Débito,Recorrente
2024-04-15,PED00015,Garmin Forerunner,Smartwatches,1,2200,2200,Norte,Cartão de Débito,Recorrente
2024-10-09,PED00016,Apple Watch Series 9,Smartwatches,2,4500,9000,Norte,Cartão de Débito,Novo
2024-08-13,PED00017,Samsung Galaxy S23,Smartphones,1,4200,4200,Oeste,Cartão de Débito,Recorrente
2024-02-21,PED00018,JBL Tune 510,Fones de Ouvido,2,280,560,Oeste,PIX,Recorrente
2024-01-13,PED00019,Samsung Buds,Fones de Ouvido,3,650,1950,Norte,Boleto,Recorrente
2024-12-01,PED00020,Apple Watch Series 9,Smartwatches,1,4500,4500,Sul,Cartão de Débito,Recorrente
2024-03-11,PED00021,Xiaomi 13,Smartphones,1,2800,2800,Sul,Boleto,Recorrente
2024-01-20,PED00022,Garmin Forerunner,Smartwatches,2,2200,4400,Oeste,Boleto,Novo
2024-04-14,PED00023,JBL Tune 510,Fones de Ouvido,2,280,560,Oeste,Cartão de Crédito,Novo
2024-11-15,PED00024,MacBook Air M2,Laptops,1,8500,8500,Norte,Cartão de Crédito,Recorrente
2024-10-20,PED00025,Samsung Galaxy Watch 6,Smartwatches,2,2800,5600,Oeste,PIX,Recorrente
2024-04-01,PED00026,Asus ROG,Laptops,2,9500,19000,Centro,Cartão de Débito,Recorrente
2024-09-06,PED00027,Samsung Tab S9,Tablets,1,3500,3500,Norte,Cartão de Crédito,Recorrente
2024-10-02,PED00028,Motorola Edge 40,Smartphones,1,2200,2200,Sul,Boleto,Recorrente
2024-10-04,PED00029,iPhone 14,Smartphones,2,3500,7000,Leste,Cartão de Crédito,Novo
2024-01-23,PED00030,Samsung Tab S9,Tablets,1,3500,3500,Centro,Cartão de Crédito,Novo
2024-12-14,PED00031,JBL Tune 510,Fones de Ouvido,3,280,840,Centro,Boleto,Recorrente
2024-10-21,PED00032,iPad Air,Tablets,2,4200,8400,Norte,Cartão de Crédito,Recorrente
2024-05-02,PED00033,Xiaomi 13,Smartphones,1,2800,2800,Norte,Cartão de Crédito,Novo
2024-12-16,PED00034,Samsung Tab S9,Tablets,1,3500,3500,Leste,Cartão de Crédito,Recorrente
2024-05-26,PED00035,Samsung Tab S9,Tablets,1,3500,3500,Centro,Boleto,Recorrente
2024-04-20,PED00036,Xiaomi Band 8,Smartwatches,1,350,350,Leste,Cartão de Débito,Novo
2024-08-14,PED00037,Lenovo ThinkPad,Laptops,2,5800,11600,Sul,Cartão de Débito,Recorrente
2024-08-10,PED00038,MacBook Air M2,Laptops,1,8500,8500,Norte,Cartão de Débito,Recorrente
2024-12-03,PED00039,Asus ROG,Laptops,1,9500,9500,Centro,Cartão de Débito,Recorrente
2024-07-05,PED00040,iPhone 14,Smartphones,1,3500,3500,Sul,Cartão de Débito,Recorrente
2024-06-08,PED00041,Samsung Buds,Fones de Ouvido,2,650,1300,Sul,Cartão de Crédito,Novo
2024-01-27,PED00042,Motorola Edge 40,Smartphones,1,2200,2200,Oeste,Cartão de Crédito,Recorrente
2024-07-21,PED00043,iPhone 14,Smartphones,1,3500,3500,Norte,Cartão de Crédito,Recorrente
2024-12-08,PED00044,Samsung Tab S9,Tablets,1,3500,3500,Norte,Cartão de Crédito,Recorrente
2024-10-10,PED00045,Xiaomi 13,Smartphones,1,2800,2800,Oeste,Boleto,Recorrente
2024-06-10,PED00046,Samsung Buds,Fones de Ouvido,3,650,1950,Norte,Cartão de Débito,Novo
2024-01-20,PED00047,Xiaomi Band 8,Smartwatches,1,350,350,Norte,Cartão de Débito,Recorrente
2024-04-15,PED00048,iPhone 14,Smartphones,2,3500,7000,Leste,PIX,Novo
2024-06-11,PED00049,Dell XPS 15,Laptops,1,7200,7200,Leste,Cartão de Crédito,Novo
2024-07-19,PED00050,Garmin Forerunner,Smartwatches,1,2200,2200,Norte,Boleto,Recorrente
2024-06-28,PED00051,Lenovo Tab P11,Tablets,1,1800,1800,Centro,Cartão de Débito,Recorrente
2024-08-27,PED00052,MacBook Air M2,Laptops,1,8500,8500,Leste,Boleto,Recorrente
2024-11-05,PED00053,MacBook Air M2,Laptops,1,8500,8500,Norte,PIX,Novo
2024-06-27,PED00054,AirPods Pro,Fones de Ouvido,1,1800,1800,Norte,Boleto,Novo
2024-10-06,PED00055,AirPods Pro,Fones de Ouvido,2,1800,3600,Oeste,Cartão de Débito,Recorrente
2024-11-02,PED00056,Samsung Galaxy S23,Smartphones,1,4200,4200,Sul,Cartão de Crédito,Recorrente
2024-01-05,PED00057,Lenovo ThinkPad,Laptops,1,5800,5800,Leste,PIX,Recorrente
2024-12-12,PED00058,Motorola Edge 40,Smartphones,2,2200,4400,Leste,Cartão de Crédito,Novo
2024-10-28,PED00059,Lenovo ThinkPad,Laptops,1,5800,5800,Leste,Cartão de Débito,Recorrente
2024-11-20,PED00060,JBL Tune 510,Fones de Ouvido,2,280,560,Norte,Cartão de Crédito,Recorrente
2024-10-25,PED00061,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Centro,Cartão de Crédito,Recorrente
2024-10-22,PED00062,Motorola Edge 40,Smartphones,2,2200,4400,Leste,PIX,Recorrente
2024-06-02,PED00063,Apple Watch Series 9,Smartwatches,1,4500,4500,Sul,Boleto,Novo
2024-03-10,PED00064,Amazon Fire HD,Tablets,1,850,850,Sul,Cartão de Crédito,Novo
2024-04-14,PED00065,iPad Air,Tablets,1,4200,4200,Centro,Boleto,Recorrente
2024-10-02,PED00066,Asus ROG,Laptops,1,9500,9500,Leste,PIX,Recorrente
2024-08-18,PED00067,Lenovo Tab P11,Tablets,1,1800,1800,Oeste,PIX,Novo
2024-08-10,PED00068,Lenovo ThinkPad,Laptops,1,5800,5800,Norte,PIX,Recorrente
2024-03-04,PED00069,Lenovo ThinkPad,Laptops,1,5800,5800,Norte,Cartão de Crédito,Novo
2024-09-28,PED00070,Xiaomi 13,Smartphones,2,2800,5600,Centro,Boleto,Recorrente
2024-12-23,PED00071,Samsung Galaxy Watch 6,Smartwatches,2,2800,5600,Sul,Boleto,Novo
2024-10-05,PED00072,AirPods Pro,Fones de Ouvido,1,1800,1800,Norte,Cartão de Crédito,Novo
2024-03-23,PED00073,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Leste,Cartão de Crédito,Recorrente
2024-04-01,PED00074,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Leste,Cartão de Crédito,Recorrente
2024-12-18,PED00075,MacBook Air M2,Laptops,1,8500,8500,Centro,Boleto,Recorrente
2024-09-02,PED00076,iPhone 14,Smartphones,1,3500,3500,Sul,Cartão de Débito,Recorrente
2024-05-08,PED00077,iPhone 14,Smartphones,1,3500,3500,Sul,PIX,Recorrente
2024-03-02,PED00078,MacBook Air M2,Laptops,1,8500,8500,Leste,Boleto,Recorrente
2024-05-21,PED00079,Lenovo Tab P11,Tablets,1,1800,1800,Leste,Cartão de Crédito,Recorrente
2024-02-12,PED00080,iPad Air,Tablets,2,4200,8400,Centro,Boleto,Novo
2024-09-12,PED00081,Lenovo ThinkPad,Laptops,1,5800,5800,Centro,Boleto,Recorrente
2024-10-08,PED00082,Sony WH-1000XM5,Fones de Ouvido,1,1500,1500,Centro,Cartão de Crédito,Novo
2024-12-07,PED00083,AirPods Pro,Fones de Ouvido,1,1800,1800,Sul,Boleto,Novo
2024-05-09,PED00084,Amazon Fire HD,Tablets,1,850,850,Oeste,Cartão de Débito,Novo
2024-03-17,PED00085,Xiaomi Band 8,Smartwatches,1,350,350,Sul,Cartão de Débito,Recorrente
2024-01-01,PED00086,Amazon Fire HD,Tablets,1,850,850,Sul,PIX,Novo
2024-02-15,PED00087,JBL Tune 510,Fones de Ouvido,2,280,560,Oeste,Cartão de Crédito,Novo
2024-11-12,PED00088,Sony WH-1000XM5,Fones de Ouvido,1,1500,1500,Centro,PIX,Recorrente
